,EpisodeReward
0,-13.066212871287128
1,-12.252475247524753
2,-10.872524752475247
3,-10.736386138613861
4,-10.061881188118813
5,-9.733910891089108
6,-10.386757425742575
7,-9.405940594059405
8,-10.374381188118813
9,-8.994430693069306
10,-8.462252475247524
11,-6.955445544554456
12,-5.844678217821782
13,-5.705445544554456
14,-4.94740099009901
15,-5.293935643564357
16,-5.306311881188119
17,-4.814356435643564
18,-4.42759900990099
19,-4.84220297029703
20,-4.588490099009901
21,-4.8174504950495045
22,-5.2227722772277225
23,-4.081064356435643
24,-4.74009900990099
25,-4.146039603960396
26,-4.316212871287129
27,-4.263613861386139
28,-3.8180693069306932
29,-4.3719059405940595
30,-4.390470297029703
31,-3.8706683168316833
32,-4.149133663366337
33,-4.139851485148514
34,-4.025371287128713
35,-4.387376237623762
36,-4.158415841584159
37,-4.127475247524752
38,-3.7283415841584158
39,-3.635519801980198
40,-4.099628712871287
41,-3.8521039603960396
42,-4.149133663366337
43,-3.4344059405940595
44,-3.6417079207920793
45,-4.235767326732673
46,-3.6850247524752477
47,-4.074876237623762
48,-3.7406483790523692
