,EpisodeReward
0,-11.646039603960396
1,-11.14170792079208
2,-10.10519801980198
3,-10.485767326732674
4,-9.79579207920792
5,-9.347153465346535
6,-9.436881188118813
7,-9.730816831683168
8,-9.006806930693068
9,-7.9022277227722775
10,-6.723391089108911
11,-5.974628712871287
12,-5.473391089108911
13,-4.972153465346534
14,-4.548267326732673
15,-4.860767326732673
16,-4.616336633663367
17,-3.7314356435643563
18,-4.32240099009901
19,-4.514232673267327
20,-4.458539603960396
21,-4.1058168316831685
22,-4.183168316831683
23,-4.139851485148514
24,-4.365717821782178
25,-4.207920792079208
26,-4.263613861386139
27,-3.849009900990099
28,-3.567450495049505
29,-4.214108910891089
30,-3.8768564356435644
31,-3.7314356435643563
32,-4.241955445544554
33,-4.180074257425742
34,-3.7530940594059405
35,-3.9232673267326734
36,-3.8180693069306932
37,-3.8892326732673266
38,-3.8985148514851486
39,-3.5643564356435644
40,-3.323019801980198
41,-3.4096534653465347
42,-3.3756188118811883
43,-3.6850247524752477
44,-3.7778465346534653
45,-4.022277227722772
46,-3.5179455445544554
47,-3.366336633663366
48,-3.3354114713216956
