,EpisodeReward
0,-12.784653465346535
1,-12.051361386138614
2,-11.946163366336634
3,-10.993193069306932
4,-10.538366336633663
5,-10.266089108910892
6,-10.349628712871286
7,-9.176980198019802
8,-9.393564356435643
9,-8.768564356435643
10,-7.178217821782178
11,-5.6683168316831685
12,-5.699257425742574
13,-6.0272277227722775
14,-5.603341584158416
15,-5.046410891089109
16,-5.646658415841584
17,-5.3620049504950495
18,-4.984529702970297
19,-4.195544554455446
20,-4.415222772277228
21,-4.798886138613861
22,-4.89789603960396
23,-4.706064356435643
24,-4.622524752475248
25,-3.839727722772277
26,-4.037747524752476
27,-4.176980198019802
28,-4.275990099009901
29,-4.659653465346534
30,-3.8892326732673266
31,-3.864480198019802
32,-4.452351485148514
33,-4.241955445544554
34,-3.8242574257425743
35,-4.32240099009901
36,-4.142945544554456
37,-4.043935643564357
38,-3.6386138613861387
39,-3.827351485148515
40,-4.1986386138613865
41,-3.901608910891089
42,-3.468440594059406
43,-3.8582920792079207
44,-3.762376237623762
45,-3.910891089108911
46,-4.047029702970297
47,-3.604579207920792
48,-3.880143391521197
