,burst_allowance,drop_prob,current_qdelay,qdelay_old,accu_prob,measurement_start,tot_pkts,tot_bytes,length,len_bytes,drops,ecn,action,reward
183,0.0,-0.3269897462419172,-6.25,0.4166666666666667,0.4545726336412938,0.483458021612635,0.0292235651768859,0.0371251136584611,0.4885993485342019,0.5534891958908962,0.0663716814159292,1.0,-0.7163301429663544,-5.0
184,0.0,-0.7155454942363034,-5.0,0.3333333333333333,0.2400597926192997,0.0288029925187032,0.1241020863468091,0.1089914260161677,0.3485342019543974,0.2737139371039477,0.0176991150442477,0.0,-0.2558333827901182,-5.0
185,0.0,-0.2550914311890819,-5.0,0.3333333333333333,0.1057963518955311,0.6479634247714048,0.3413665449018118,0.4300465496960608,0.1400651465798045,0.1586669028220569,0.1946902654867256,0.0,-0.2045371336212281,-8.75
186,0.0,-0.2043606507832538,-8.75,0.5833333333333334,0.3987136065946072,0.9335827098919368,0.0896320086297776,0.113310924355811,0.4104234527687296,0.4649309245483528,0.1747787610619469,1.0,-0.25778014250334674,-8.125
187,0.0,-0.2565822262777419,-8.125,0.5416666666666667,0.1684322096420398,0.9908977556109726,0.1937041849518252,0.2453164421553583,0.2996742671009772,0.3394733734797496,0.415929203539823,1.0,-0.48333510948632175,-8.75
188,0.0,-0.4842818250393126,-8.75,0.5833333333333334,0.2418631857049343,0.6661263507896924,0.366790065949153,0.4621157120876214,0.3583061889250814,0.4058920769866572,0.2588495575221239,0.0,-0.6023967764856015,-5.0
189,0.0,-0.6029850653806668,-5.0,0.3333333333333333,0.1850033040290884,0.1658769742310889,0.0394223932923092,0.0500613848980297,0.3485342019543974,0.3948222930688392,0.0088495575221238,1.0,-0.7043540086779516,-4.0625
190,0.0,-0.7051073415938136,-4.0625,0.2708333333333333,0.2428849770792261,0.2137988362427265,0.0496457378214714,0.0418355183261182,0.250814332247557,0.2093222340299917,0.0221238938053097,0.0,-0.6986158179170037,-7.1875
191,0.0,-0.6984231142951298,-7.1875,0.4791666666666667,0.1392819682913325,0.6661263507896924,0.365588761675942,0.4605919734840459,0.3941368078175896,0.4429783130633289,0.25,0.0,-0.7205274166053124,-3.75
192,0.0,-0.7213893710871383,-3.75,0.25,0.0357708648967972,0.6203657522859518,0.2449189732525926,0.3091530045015592,0.2182410423452769,0.2472251741646003,0.1150442477876106,0.0,-0.5397493692384481,-6.25
193,0.0,-0.5406807135895281,-6.25,0.4166666666666667,0.1002074407624203,0.9335827098919368,0.0883571551153497,0.1116938956336492,0.4462540716612378,0.5055201322470185,0.1548672566371681,1.0,-0.7156281792661296,-5.0
194,0.0,-0.7155454942363034,-5.0,0.3333333333333333,0.2400597926192997,0.0288029925187032,0.1241020863468091,0.1089914260161677,0.3485342019543974,0.2737139371039477,0.0176991150442477,0.0,-0.5076323945384513,-5.0
195,0.0,-0.5088222733824477,-5.0,0.3333333333333333,0.1438107718579232,0.9908977556109726,0.1926254627473093,0.2439481870827599,0.3420195439739414,0.3874424371236273,0.4048672566371681,1.0,0.13493493745664337,-0.9375
196,0.0,0.1359699399843765,-0.9375,0.0625,0.0,0.8738570241064005,0.0632278310328765,0.0802562866137801,0.01628664495114,0.0184496398630298,0.2101769911504424,0.0,0.017027780309744445,-6.875
197,0.0,0.0124774193697483,-6.875,0.4583333333333333,0.1576772481048338,0.8738570241064005,0.0593297212483757,0.0753119103287087,0.257328990228013,0.291504309835872,0.0685840707964601,0.0,-0.18973168693494347,-9.0625
198,0.0,-0.1900017700838226,-9.0625,0.6041666666666667,0.2418631857049343,0.6661263507896924,0.366790065949153,0.4621157120876214,0.1856677524429967,0.2103258944385405,0.2588495575221239,0.0,-0.5821848724631228,-6.25
199,0.0,-0.5827207214403123,-6.25,0.4166666666666667,0.9798845138584708,0.9335827098919368,0.0881365073916987,0.1114140252778905,0.4462540716612378,0.5055201322470185,0.1526548672566371,1.0,-0.06316516544348194,-7.812500000000001
200,0.0,-0.0643474643030832,-7.812500000000001,0.5208333333333334,0.0715321281211501,0.1658769742310889,0.041040476599083,0.0521137675069273,0.1954397394136807,0.2213956783563584,0.0309734513274336,1.0,-1.0,-0.0
201,0.3333333333333333,-1.0,-0.0,0.0,0.0,0.9985453034081462,0.1370957856284782,0.0277735877845504,0.0,0.0,0.0,0.0,1.0,-11.5625
202,0.0,0.7572602626373282,-11.5625,0.7708333333333334,0.0,0.9191188694929342,0.0594032704895927,0.075405200447295,0.1530944625407166,0.1734266147124808,0.1106194690265486,1.0,-1.0,-0.0
203,0.3333333333333333,-1.0,-0.0,0.0,0.0,0.9985453034081462,0.1370957856284782,0.0277735877845504,0.0,0.0,0.0,0.0,0.4703890817030823,-12.1875
204,1.0,-0.9999737000792244,-0.625,0.0416666666666666,0.0,0.9800498753117206,0.153865012625953,0.1947842945878048,0.0293159609120521,0.0332093517534537,0.3650442477876106,1.0,-0.6403117299664987,-7.1875
205,0.0,-0.6401382770138844,-7.1875,0.4791666666666667,0.229951785290046,0.0997921862011637,0.2506312976537792,0.2093130903450532,0.2996742671009772,0.2611091431495257,0.0110619469026548,0.0,-0.650752039572652,-1.25
206,0.0,-0.6504019520138109,-1.25,0.0833333333333333,0.1478108342083057,0.7515378221113882,0.5748118365245531,0.7231564732354796,0.0521172638436482,0.0590388475616955,0.3672566371681416,0.0,-0.24952284245774037,-4.6875
207,0.0,-0.250477909834053,-4.6875,0.3125,0.0566327097915308,0.0288029925187032,0.1322660521218956,0.1155596308364889,0.4136807817589576,0.2995729523359703,0.1238938053097345,0.0,-0.9069823293468591,-1.5625
208,0.0,-0.9069925173505076,-1.5625,0.1041666666666666,0.1056724421810039,0.6966749792186201,0.4056730981392042,0.5095208578047135,0.1465798045602606,0.1660467587672688,0.2676991150442477,0.0,-0.43812316321931394,-5.3125
209,0.0,-0.4383441922254896,-5.3125,0.3541666666666667,0.0831886814825808,0.0288029925187032,0.1272647037191399,0.1115337268656054,0.3680781758957654,0.2675345377258236,0.0486725663716814,0.0,-0.7551074768034949,-2.8125
210,0.0,-0.7553120971559812,-2.8125,0.1875,0.0377013938758245,0.7642560266001663,0.6013385961901493,0.7555423244829343,0.0879478827361563,0.0996280552603613,0.3849557522123893,0.0,-0.060669350714912036,-7.812500000000001
